---STARTING WITH PAIR
Testrun 0

gen	ms	perc	best
10800	49353	26	[0, 1, 29, 11, 27, 130, 173, 125, 142, 25, 5, 3, 23, 98, 7]... => 149359.27360929464
10900	49714	26	[0, 1, 29, 11, 98, 130, 173, 125, 142, 27, 25, 5, 3, 23, 7]... => 148658.74594335302
11000	50074	26	[0, 1, 29, 11, 98, 130, 173, 125, 142, 27, 25, 5, 3, 23, 7]... => 148499.55481577507
11100	50522	26	[0, 1, 29, 11, 98, 130, 173, 125, 142, 27, 25, 5, 3, 23, 7]... => 148499.55481577507
11200	50903	27	[0, 2, 4, 1, 29, 11, 98, 130, 173, 125, 142, 27, 25, 5, 3]... => 147440.29604609398
11300	51277	27	[0, 2, 4, 1, 29, 11, 98, 130, 173, 125, 142, 27, 25, 5, 3]... => 146920.3966668654
11400	51645	27	[0, 2, 4, 1, 29, 11, 98, 130, 173, 125, 142, 27, 25, 5, 3]... => 146728.58713675715
11500	52007	27	[0, 2, 4, 1, 29, 11, 98, 130, 173, 125, 142, 27, 25, 5, 3]... => 146728.58713675715
11600	52405	27	[0, 2, 4, 1, 29, 11, 98, 130, 173, 125, 142, 27, 25, 5, 3]... => 146728.58713675715
11700	52769	27	[0, 2, 4, 1, 29, 11, 98, 130, 173, 125, 142, 27, 25, 5, 3]... => 146728.58713675715
11800	53147	27	[0, 2, 4, 1, 29, 11, 98, 130, 173, 125, 142, 27, 25, 5, 3]... => 146728.58713675715
11900	53553	27	[0, 2, 4, 1, 29, 11, 98, 130, 173, 125, 142, 27, 25, 5, 3]... => 146728.58713675715
12000	53912	27	[0, 2, 4, 1, 162, 72, 64, 127, 88, 79, 78, 82, 157, 179, 140]... => 146547.46760700765
12100	54311	27	[0, 2, 4, 1, 162, 72, 64, 127, 88, 79, 78, 82, 157, 179, 140]... => 146547.46760700765
12200	54675	27	[0, 2, 4, 1, 162, 72, 64, 127, 88, 79, 78, 82, 157, 179, 140]... => 146547.46760700765
12300	55025	27	[0, 2, 4, 1, 162, 72, 64, 127, 88, 79, 78, 82, 157, 179, 140]... => 146019.50977428717
12400	55397	27	[0, 2, 4, 1, 162, 72, 64, 127, 88, 79, 78, 82, 157, 179, 140]... => 145989.64702585334
12500	55737	27	[0, 2, 4, 1, 162, 72, 64, 127, 88, 79, 78, 82, 157, 179, 140]... => 145989.64702585334
12600	56091	27	[0, 2, 4, 1, 162, 72, 64, 127, 88, 79, 78, 82, 157, 179, 140]... => 145989.64702585334
12700	56477	27	[0, 2, 4, 1, 162, 72, 64, 127, 88, 79, 78, 82, 157, 179, 140]... => 145989.64702585334
12800	56831	27	[0, 2, 4, 1, 162, 72, 64, 127, 88, 79, 78, 82, 157, 179, 140]... => 145978.70332791092
12900	57174	27	[0, 2, 4, 1, 162, 136, 132, 168, 156, 143, 137, 175, 97, 55, 22]... => 144685.9379906912
13000	57552	27	[0, 2, 4, 1, 162, 136, 132, 168, 156, 143, 137, 175, 97, 55, 22]... => 144685.9379906912
13100	57893	27	[0, 2, 4, 1, 162, 136, 132, 168, 156, 143, 137, 175, 97, 55, 22]... => 144685.9379906912
13200	58250	27	[0, 2, 4, 1, 162, 136, 132, 168, 156, 143, 137, 175, 97, 55, 22]... => 144685.9379906912
13300	58635	27	[0, 2, 4, 1, 162, 136, 132, 168, 156, 143, 137, 175, 97, 55, 22]... => 144258.9052506523
13400	59008	27	[0, 2, 4, 1, 162, 136, 132, 168, 156, 143, 137, 175, 97, 55, 22]... => 144241.8924858381
13500	59379	27	[0, 2, 4, 1, 162, 121, 125, 136, 132, 108, 156, 143, 137, 175, 97]... => 144003.71893730955
13600	59757	27	[0, 2, 4, 1, 162, 121, 125, 136, 132, 108, 156, 143, 137, 175, 97]... => 143869.45130372018
13700	60119	28	[0, 2, 4, 1, 162, 121, 125, 136, 132, 108, 156, 177, 139, 146, 140]... => 141899.12434950552
13800	60475	28	[0, 2, 4, 1, 162, 121, 125, 136, 132, 108, 156, 177, 139, 146, 140]... => 141899.12434950552
13900	60866	28	[0, 2, 4, 1, 162, 121, 125, 136, 132, 108, 156, 177, 139, 146, 140]... => 141899.12434950552
14000	61218	28	[0, 2, 4, 1, 162, 121, 125, 136, 132, 108, 156, 177, 139, 146, 140]... => 141899.12434950552
14100	61568	28	[0, 2, 4, 1, 32, 34, 35, 129, 40, 33, 52, 58, 69, 61, 105]... => 141466.35349991338
14200	61950	28	[0, 7, 2, 4, 1, 32, 34, 35, 129, 40, 33, 52, 58, 69, 61]... => 141297.23522391063
14300	62313	28	[0, 7, 2, 4, 1, 32, 34, 35, 129, 40, 33, 52, 58, 69, 61]... => 141297.23522391063
14400	62670	28	[0, 7, 2, 4, 1, 32, 34, 35, 129, 40, 33, 52, 58, 69, 61]... => 141297.23522391063
14500	63029	28	[0, 7, 2, 4, 1, 32, 34, 35, 129, 40, 33, 52, 58, 69, 61]... => 141297.23522391063
14600	63378	28	[0, 7, 2, 4, 1, 32, 34, 35, 129, 40, 33, 52, 58, 69, 61]... => 141297.23522391063
14700	63744	28	[0, 7, 2, 4, 1, 32, 34, 35, 129, 40, 33, 52, 58, 69, 61]... => 140814.37448592085
14800	64097	28	[0, 7, 2, 4, 1, 32, 34, 35, 129, 40, 33, 52, 58, 69, 61]... => 140414.16186866394
14900	64453	28	[0, 7, 2, 4, 1, 32, 34, 35, 129, 40, 33, 52, 58, 69, 61]... => 140414.16186866394
15000	64823	28	[0, 3, 7, 2, 4, 1, 32, 34, 35, 129, 40, 33, 52, 58, 69]... => 140155.2426039082
15100	65183	28	[0, 3, 7, 2, 4, 1, 32, 34, 35, 129, 40, 33, 52, 58, 69]... => 140155.2426039082
15200	65548	28	[0, 3, 7, 2, 4, 1, 32, 34, 35, 129, 40, 33, 52, 58, 69]... => 140155.2426039082
15300	66145	28	[0, 3, 7, 2, 4, 1, 32, 34, 35, 129, 40, 33, 52, 58, 69]... => 140155.2426039082
15400	66514	28	[0, 3, 7, 2, 4, 1, 32, 34, 35, 129, 40, 33, 52, 58, 69]... => 140155.2426039082
15500	66869	28	[0, 3, 7, 2, 4, 1, 32, 34, 35, 129, 40, 33, 52, 58, 69]... => 140155.2426039082
15600	67229	28	[0, 3, 7, 2, 4, 1, 32, 34, 35, 129, 40, 33, 52, 58, 69]... => 139735.50268907056
15700	67586	28	[0, 3, 7, 2, 4, 1, 32, 34, 35, 129, 40, 33, 52, 58, 69]... => 139735.50268907056
15800	67952	28	[0, 3, 7, 2, 4, 1, 32, 34, 35, 129, 40, 33, 52, 58, 69]... => 139735.50268907056
15900	68329	28	[0, 3, 7, 2, 4, 1, 32, 34, 35, 129, 40, 33, 52, 58, 69]... => 139692.56203272918
16000	68679	28	[0, 3, 7, 2, 4, 1, 32, 34, 35, 129, 40, 33, 52, 58, 69]... => 139692.56203272918
16100	69078	28	[0, 3, 7, 2, 4, 1, 32, 34, 35, 129, 40, 33, 52, 58, 69]... => 139491.0413744071
16200	69445	28	[0, 3, 7, 2, 4, 1, 32, 34, 35, 129, 40, 33, 52, 58, 69]... => 139491.0413744071
16300	69806	28	[0, 3, 7, 2, 4, 1, 32, 34, 35, 129, 40, 33, 52, 58, 69]... => 139491.0413744071
